reltime,datetime,iSensor,headPos.x,headPos.y,headPos.z,headPosQ,headYaw,headPitch,headRoll,headRotQ,gazeSrc.x,gazeSrc.y,gazeSrc.z,gaze_x,gaze_y,gaze_z,gazeQ,leftEyeOpen,leftEyeOpenQ,rightEyeOpen,rightEyeOpenQ,pupil,pupilQ,gaze_diff,fixation,fixation_id,duration
0.001,2024/05/28 15:36:54.8549,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.996,0.023,0.087,0.87,10.0,1.0,7.37,1.0,2.61,1.0,,False,1,
0.003,2024/05/28 15:36:54.8569,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.994,0.004,0.112,0.99,9.9,1.0,9.9,1.0,2.66,0.99,0.031464265445104556,False,1,
0.013,2024/05/28 15:36:54.8669,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.985,-0.031,0.169,0.99,9.9,1.0,9.9,1.0,2.61,0.99,0.06749074010558784,False,1,
0.033,2024/05/28 15:36:54.8869,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.974,-0.073,0.215,0.99,9.9,1.0,9.9,1.0,2.61,0.99,0.06325345840347386,False,1,
0.051,2024/05/28 15:36:54.9049,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.957,-0.129,0.258,1.0,10.0,1.0,10.0,1.0,2.64,1.0,0.07262231062146124,False,1,
0.06,2024/05/28 15:36:54.9139,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.957,-0.127,0.262,1.0,10.0,1.0,10.0,1.0,2.62,1.0,0.004472135954999584,True,2,0.07600000000000001
0.08,2024/05/28 15:36:54.9339,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.955,-0.127,0.269,1.0,10.0,1.0,10.0,1.0,2.63,1.0,0.007280109889280525,True,2,0.07600000000000001
0.099,2024/05/28 15:36:54.9529,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.953,-0.125,0.275,1.0,10.0,1.0,10.0,1.0,2.64,1.0,0.006633249580710806,True,2,0.07600000000000001
0.108,2024/05/28 15:36:54.9619,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.953,-0.128,0.274,1.0,10.0,1.0,10.0,1.0,2.62,1.0,0.003162277660168382,True,2,0.07600000000000001
0.127,2024/05/28 15:36:54.9809,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.952,-0.129,0.279,1.0,10.0,1.0,10.0,1.0,2.63,1.0,0.005196152422706637,True,2,0.07600000000000001
0.136,2024/05/28 15:36:54.9899,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.952,-0.129,0.279,1.0,10.0,1.0,10.0,1.0,2.63,1.0,0.0,True,2,0.07600000000000001
0.156,2024/05/28 15:36:55.0099,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.948,-0.135,0.288,1.0,10.0,1.0,10.0,1.0,2.6,1.0,0.011532562594670764,False,3,
0.176,2024/05/28 15:36:55.0299,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.948,-0.135,0.287,1.0,10.0,1.0,10.0,1.0,2.61,1.0,0.0010000000000000009,True,4,0.3
0.185,2024/05/28 15:36:55.0389,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.946,-0.135,0.294,1.0,10.0,1.0,10.0,1.0,2.59,1.0,0.007280109889280525,True,4,0.3
0.205,2024/05/28 15:36:55.0589,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.945,-0.135,0.298,1.0,10.0,1.0,10.0,1.0,2.6,1.0,0.004123105625617665,True,4,0.3
0.224,2024/05/28 15:36:55.0779,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.942,-0.136,0.306,1.0,10.0,1.0,10.0,1.0,2.58,1.0,0.008602325267042634,True,4,0.3
0.234,2024/05/28 15:36:55.0879,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.942,-0.136,0.306,1.0,10.0,1.0,10.0,1.0,2.58,1.0,0.0,True,4,0.3
0.254,2024/05/28 15:36:55.1079,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.943,-0.131,0.305,1.0,10.0,1.0,10.0,1.0,2.56,1.0,0.005196152422706636,True,4,0.3
0.273,2024/05/28 15:36:55.1269,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.946,-0.127,0.299,1.0,10.0,1.0,10.0,1.0,2.57,1.0,0.007810249675906661,True,4,0.3
0.283,2024/05/28 15:36:55.1369,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.947,-0.123,0.297,1.0,10.0,1.0,10.0,1.0,2.57,1.0,0.004582575694955844,True,4,0.3
0.301,2024/05/28 15:36:55.1549,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.948,-0.121,0.295,1.0,10.0,1.0,10.0,1.0,2.59,1.0,0.0030000000000000027,True,4,0.3
0.311,2024/05/28 15:36:55.1649,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.949,-0.125,0.291,1.0,10.0,1.0,10.0,1.0,2.56,1.0,0.005744562646538034,True,4,0.3
0.331,2024/05/28 15:36:55.1849,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.948,-0.122,0.293,1.0,10.0,1.0,10.0,1.0,2.56,1.0,0.0037416573867739447,True,4,0.3
0.351,2024/05/28 15:36:55.2049,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.946,-0.128,0.297,1.0,10.0,1.0,10.0,1.0,2.58,1.0,0.007483314773547889,True,4,0.3
0.36,2024/05/28 15:36:55.2139,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.946,-0.131,0.295,1.0,10.0,1.0,10.0,1.0,2.57,1.0,0.0036055512754639926,True,4,0.3
0.38,2024/05/28 15:36:55.2339,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.946,-0.131,0.296,1.0,10.0,1.0,10.0,1.0,2.6,1.0,0.0010000000000000009,True,4,0.3
0.389,2024/05/28 15:36:55.2429,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.945,-0.13,0.299,1.0,10.0,1.0,10.0,1.0,2.57,1.0,0.003316624790355403,True,4,0.3
0.409,2024/05/28 15:36:55.2629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.944,-0.131,0.302,1.0,10.0,1.0,10.0,1.0,2.58,1.0,0.003316624790355403,True,4,0.3
0.427,2024/05/28 15:36:55.2809,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.945,-0.127,0.302,1.0,10.0,1.0,10.0,1.0,2.61,1.0,0.004123105625617665,True,4,0.3
0.436,2024/05/28 15:36:55.2899,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.945,-0.127,0.302,1.0,10.0,1.0,10.0,1.0,2.61,1.0,0.0,True,4,0.3
0.456,2024/05/28 15:36:55.3099,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.947,-0.12,0.299,1.0,10.0,1.0,10.0,1.0,2.59,1.0,0.007874007874011818,True,4,0.3
0.476,2024/05/28 15:36:55.3299,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.948,-0.121,0.293,1.0,10.0,1.0,10.0,1.0,2.6,1.0,0.006164414002968982,True,4,0.3
0.486,2024/05/28 15:36:55.3399,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.979,-0.047,0.198,0.99,9.9,1.0,9.9,1.0,2.65,0.99,0.12434629065637622,False,5,
0.506,2024/05/28 15:36:55.3599,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.984,-0.035,0.174,0.99,9.9,1.0,9.9,1.0,2.66,0.99,0.02729468812791238,False,5,
0.516,2024/05/28 15:36:55.3699,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.994,0.006,0.105,1.0,10.0,1.0,10.0,1.0,2.63,1.0,0.08088263101556477,False,5,
0.534,2024/05/28 15:36:55.3879,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.996,0.004,0.086,1.0,10.0,1.0,10.0,1.0,2.65,1.0,0.01920937271229855,False,5,
0.554,2024/05/28 15:36:55.4079,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.997,0.003,0.081,1.0,10.0,1.0,10.0,1.0,2.64,1.0,0.005196152422706623,True,6,0.05799999999999994
0.563,2024/05/28 15:36:55.4169,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.997,0.003,0.081,1.0,10.0,1.0,10.0,1.0,2.64,1.0,0.0,True,6,0.05799999999999994
0.582,2024/05/28 15:36:55.4359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.996,0.0,0.084,1.0,10.0,1.0,10.0,1.0,2.65,1.0,0.004358898943540675,True,6,0.05799999999999994
0.602,2024/05/28 15:36:55.4559,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.996,-0.002,0.09,1.0,10.0,1.0,10.0,1.0,2.64,1.0,0.006324555320336751,True,6,0.05799999999999994
0.612,2024/05/28 15:36:55.4659,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.012,-0.014,0.996,-0.003,0.091,1.0,10.0,1.0,10.0,1.0,2.64,1.0,0.0014142135623730957,True,6,0.05799999999999994
0.632,2024/05/28 15:36:55.4859,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.011,-0.014,0.997,-0.003,0.078,1.0,10.0,1.0,10.0,1.0,2.58,1.0,0.013038404810405295,False,7,
0.642,2024/05/28 15:36:55.4959,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.011,-0.014,0.997,-0.005,0.077,1.0,10.0,1.0,10.0,1.0,2.6,1.0,0.00223606797749979,True,8,0.04899999999999993
0.661,2024/05/28 15:36:55.5149,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.011,-0.014,0.997,-0.008,0.073,1.0,10.0,1.0,10.0,1.0,2.59,1.0,0.005000000000000004,True,8,0.04899999999999993
0.671,2024/05/28 15:36:55.5249,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.011,-0.014,0.997,-0.008,0.073,1.0,10.0,1.0,10.0,1.0,2.59,1.0,0.0,True,8,0.04899999999999993
0.691,2024/05/28 15:36:55.5449,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.011,-0.014,0.998,-0.009,0.065,1.0,10.0,1.0,10.0,1.0,2.6,1.0,0.008124038404635953,True,8,0.04899999999999993
0.701,2024/05/28 15:36:55.5549,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.011,-0.014,0.998,0.008,0.06,1.0,10.0,1.0,10.0,1.0,2.6,1.0,0.017720045146669354,False,9,
0.72,2024/05/28 15:36:55.5739,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.998,0.017,0.058,1.0,10.0,1.0,10.0,1.0,2.53,1.0,0.009219544457292887,True,10,0.31800000000000006
0.74,2024/05/28 15:36:55.5939,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.998,0.019,0.059,1.0,10.0,1.0,10.0,1.0,2.54,1.0,0.0022360679774997855,True,10,0.31800000000000006
0.75,2024/05/28 15:36:55.6039,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.998,0.023,0.055,1.0,9.98,1.0,10.0,1.0,2.54,1.0,0.0056568542494923775,True,10,0.31800000000000006
0.77,2024/05/28 15:36:55.6239,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.998,0.028,0.053,1.0,10.0,1.0,10.0,1.0,2.55,1.0,0.0053851648071345055,True,10,0.31800000000000006
0.78,2024/05/28 15:36:55.6339,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.998,0.028,0.051,1.0,10.0,1.0,10.0,1.0,2.52,1.0,0.0020000000000000018,True,10,0.31800000000000006
0.8,2024/05/28 15:36:55.6539,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.998,0.028,0.053,1.0,10.0,1.0,10.0,1.0,2.54,1.0,0.0020000000000000018,True,10,0.31800000000000006
0.819,2024/05/28 15:36:55.6729,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.998,0.026,0.051,1.0,10.0,1.0,10.0,1.0,2.53,1.0,0.0028284271247461927,True,10,0.31800000000000006
0.829,2024/05/28 15:36:55.6829,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.998,0.024,0.05,1.0,10.0,1.0,10.0,1.0,2.49,1.0,0.0022360679774997855,True,10,0.31800000000000006
0.849,2024/05/28 15:36:55.7029,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.998,0.019,0.054,1.0,10.0,1.0,10.0,1.0,2.5,1.0,0.006403124237432847,True,10,0.31800000000000006
0.859,2024/05/28 15:36:55.7129,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.998,0.017,0.054,1.0,10.0,1.0,10.0,1.0,2.52,1.0,0.0019999999999999983,True,10,0.31800000000000006
0.879,2024/05/28 15:36:55.7329,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.998,0.015,0.054,1.0,10.0,1.0,10.0,1.0,2.52,1.0,0.0020000000000000018,True,10,0.31800000000000006
0.899,2024/05/28 15:36:55.7529,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.998,0.018,0.054,1.0,10.0,1.0,10.0,1.0,2.5,1.0,0.002999999999999999,True,10,0.31800000000000006
0.909,2024/05/28 15:36:55.7629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.998,0.018,0.054,1.0,10.0,1.0,10.0,1.0,2.5,1.0,0.0,True,10,0.31800000000000006
0.929,2024/05/28 15:36:55.7829,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.998,0.024,0.054,1.0,10.0,1.0,10.0,1.0,2.51,1.0,0.006000000000000002,True,10,0.31800000000000006
0.939,2024/05/28 15:36:55.7929,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.998,0.024,0.054,1.0,10.0,1.0,10.0,1.0,2.51,1.0,0.0,True,10,0.31800000000000006
0.959,2024/05/28 15:36:55.8129,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.998,0.022,0.06,1.0,10.0,1.0,10.0,1.0,2.48,1.0,0.006324555320336758,True,10,0.31800000000000006
0.978,2024/05/28 15:36:55.8319,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.998,0.018,0.058,1.0,10.0,1.0,10.0,1.0,2.5,1.0,0.004472135954999577,True,10,0.31800000000000006
0.988,2024/05/28 15:36:55.8419,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.998,0.012,0.064,1.0,10.0,1.0,10.0,1.0,2.48,1.0,0.008485281374238568,True,10,0.31800000000000006
1.008,2024/05/28 15:36:55.8619,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.998,0.011,0.065,1.0,10.0,1.0,10.0,1.0,2.47,1.0,0.0014142135623730963,True,10,0.31800000000000006
1.018,2024/05/28 15:36:55.8719,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.998,0.012,0.065,1.0,10.0,1.0,10.0,1.0,2.48,1.0,0.0010000000000000009,True,10,0.31800000000000006
1.038,2024/05/28 15:36:55.8919,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.998,0.013,0.064,1.0,10.0,1.0,10.0,1.0,2.49,1.0,0.0014142135623730952,True,10,0.31800000000000006
1.058,2024/05/28 15:36:55.9119,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.989,-0.029,0.147,0.99,9.9,1.0,9.9,1.0,2.47,0.99,0.0934558719396486,False,11,
1.067,2024/05/28 15:36:55.9209,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.981,-0.055,0.187,1.0,10.0,1.0,10.0,1.0,2.45,1.0,0.04837354648979131,False,11,
1.087,2024/05/28 15:36:55.9409,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.97,-0.079,0.23,1.0,10.0,1.0,10.0,1.0,2.48,1.0,0.050457903246171464,False,11,
1.107,2024/05/28 15:36:55.9609,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.969,-0.078,0.233,1.0,10.0,1.0,10.0,1.0,2.46,1.0,0.003316624790355403,True,12,0.1459999999999999
1.117,2024/05/28 15:36:55.9709,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.968,-0.08,0.238,1.0,10.0,1.0,10.0,1.0,2.44,1.0,0.0054772255750516405,True,12,0.1459999999999999
1.137,2024/05/28 15:36:55.9909,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.967,-0.081,0.241,1.0,10.0,1.0,10.0,1.0,2.49,1.0,0.003316624790355403,True,12,0.1459999999999999
1.147,2024/05/28 15:36:56.0009,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.966,-0.081,0.244,1.0,10.0,1.0,10.0,1.0,2.46,1.0,0.003162277660168382,True,12,0.1459999999999999
1.166,2024/05/28 15:36:56.0199,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.969,-0.081,0.235,1.0,10.0,1.0,10.0,1.0,2.46,1.0,0.009486832980505146,True,12,0.1459999999999999
1.175,2024/05/28 15:36:56.0289,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.969,-0.081,0.235,1.0,10.0,1.0,10.0,1.0,2.46,1.0,0.0,True,12,0.1459999999999999
1.195,2024/05/28 15:36:56.0489,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.967,-0.078,0.242,1.0,10.0,1.0,10.0,1.0,2.44,1.0,0.007874007874011818,True,12,0.1459999999999999
1.205,2024/05/28 15:36:56.0589,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.967,-0.078,0.242,1.0,10.0,1.0,10.0,1.0,2.44,1.0,0.0,True,12,0.1459999999999999
1.224,2024/05/28 15:36:56.0779,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.966,-0.077,0.245,1.0,10.0,1.0,10.0,1.0,2.46,1.0,0.003316624790355403,True,12,0.1459999999999999
1.234,2024/05/28 15:36:56.0879,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.965,-0.078,0.251,1.0,10.0,1.0,10.0,1.0,2.44,1.0,0.006164414002968982,True,12,0.1459999999999999
1.253,2024/05/28 15:36:56.1069,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.964,-0.079,0.255,1.0,10.0,1.0,10.0,1.0,2.44,1.0,0.004242640687119289,True,12,0.1459999999999999
1.273,2024/05/28 15:36:56.1269,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.959,-0.089,0.27,1.0,10.0,1.0,10.0,1.0,2.42,1.0,0.018708286933869715,False,13,
1.283,2024/05/28 15:36:56.1369,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.946,-0.108,0.305,1.0,10.0,1.0,9.9,1.0,2.42,1.0,0.04189272013130681,False,13,
1.303,2024/05/28 15:36:56.1569,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.936,-0.132,0.326,1.0,10.0,1.0,10.0,1.0,2.4,1.0,0.03342154993413679,False,13,
1.313,2024/05/28 15:36:56.1669,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.936,-0.132,0.326,1.0,10.0,1.0,10.0,1.0,2.4,1.0,0.0,True,14,0.09899999999999998
1.333,2024/05/28 15:36:56.1869,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.935,-0.14,0.325,1.0,10.0,1.0,10.0,1.0,2.41,1.0,0.008124038404635967,True,14,0.09899999999999998
1.343,2024/05/28 15:36:56.1969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.935,-0.14,0.325,1.0,10.0,1.0,10.0,1.0,2.41,1.0,0.0,True,14,0.09899999999999998
1.362,2024/05/28 15:36:56.2159,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.934,-0.142,0.327,1.0,10.0,1.0,10.0,1.0,2.4,1.0,0.002999999999999984,True,14,0.09899999999999998
1.382,2024/05/28 15:36:56.2359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.934,-0.14,0.328,1.0,10.0,1.0,10.0,1.0,2.43,1.0,0.002236067977499767,True,14,0.09899999999999998
1.392,2024/05/28 15:36:56.2459,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.936,-0.132,0.327,1.0,10.0,1.0,10.0,1.0,2.41,1.0,0.008306623862918082,True,14,0.09899999999999998
1.412,2024/05/28 15:36:56.2659,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.936,-0.132,0.327,1.0,10.0,1.0,10.0,1.0,2.41,1.0,0.0,True,14,0.09899999999999998
1.422,2024/05/28 15:36:56.2759,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.932,-0.136,0.337,1.0,10.0,1.0,10.0,1.0,2.43,1.0,0.011489125293076068,False,15,
1.442,2024/05/28 15:36:56.2959,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.927,-0.144,0.346,1.0,10.0,1.0,10.0,1.0,2.4,1.0,0.013038404810405255,False,15,
1.462,2024/05/28 15:36:56.3159,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.925,-0.157,0.346,1.0,10.0,1.0,10.0,1.0,2.41,1.0,0.013152946437965917,False,15,
1.472,2024/05/28 15:36:56.3259,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.925,-0.157,0.346,1.0,10.0,1.0,10.0,1.0,2.41,1.0,0.0,True,16,0.21500000000000008
1.492,2024/05/28 15:36:56.3459,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.928,-0.16,0.337,1.0,10.0,1.0,10.0,1.0,2.42,1.0,0.009949874371066158,True,16,0.21500000000000008
1.502,2024/05/28 15:36:56.3559,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.928,-0.163,0.334,1.0,10.0,1.0,10.0,1.0,2.4,1.0,0.004242640687119289,True,16,0.21500000000000008
1.522,2024/05/28 15:36:56.3759,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.928,-0.163,0.336,1.0,10.0,1.0,10.0,1.0,2.44,1.0,0.0020000000000000018,True,16,0.21500000000000008
1.542,2024/05/28 15:36:56.3959,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.927,-0.161,0.339,1.0,10.0,1.0,10.0,1.0,2.45,1.0,0.0037416573867739447,True,16,0.21500000000000008
1.551,2024/05/28 15:36:56.4049,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.926,-0.16,0.342,1.0,10.0,1.0,10.0,1.0,2.44,1.0,0.003316624790355403,True,16,0.21500000000000008
1.57,2024/05/28 15:36:56.4239,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.924,-0.16,0.348,1.0,10.0,1.0,10.0,1.0,2.45,1.0,0.006324555320336712,True,16,0.21500000000000008
1.58,2024/05/28 15:36:56.4339,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.924,-0.16,0.348,1.0,10.0,1.0,10.0,1.0,2.45,1.0,0.0,True,16,0.21500000000000008
1.599,2024/05/28 15:36:56.4529,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.012,-0.014,0.924,-0.161,0.348,1.0,10.0,1.0,10.0,1.0,2.42,1.0,0.0010000000000000009,True,16,0.21500000000000008
1.619,2024/05/28 15:36:56.4729,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.011,-0.014,0.923,-0.161,0.35,1.0,10.0,1.0,10.0,1.0,2.39,1.0,0.002236067977499792,True,16,0.21500000000000008
1.628,2024/05/28 15:36:56.4819,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.011,-0.014,0.924,-0.166,0.344,1.0,10.0,1.0,10.0,1.0,2.38,1.0,0.007874007874011818,True,16,0.21500000000000008
1.648,2024/05/28 15:36:56.5019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.011,-0.014,0.924,-0.167,0.344,1.0,10.0,1.0,10.0,1.0,2.39,1.0,0.0010000000000000009,True,16,0.21500000000000008
1.658,2024/05/28 15:36:56.5119,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.011,-0.014,0.924,-0.17,0.342,1.0,10.0,1.0,10.0,1.0,2.38,1.0,0.0036055512754639618,True,16,0.21500000000000008
